Erbil,,,,,,,,
Name,Coordinates,Land Discription,Out of 10,Area,Out of 10,Distance from the Grid,Out of 10,Solar Heat Map
Degala,"36½07'15.80""N 44½29'54.69""E",,,76.38 km^2,,,,
Zirguz,"36½32'00.43""N 44½06'36.70""E",,,162.33 km^2,,,,
Daratu,"36½35'38.73""N 43½52'23.10""E",,,162.44 km^2,,,,
Bekhme,"36½43'03.74""N 44½10'20.66""E",,,45.06 km^2,,,,
Atrush,"36½50'53.95""N 43½30'19.22""E",,,30.46 km^2,,,,
Ashkafta,"36½54'02.38""N 43½33'30.22""E",,,36.76 km^2,,,,
Gare,"36½57'52.50""N 43½27'40.66""E",,,57.03 km^2,,,,
Mizuri Jeri,"36½51'51.57""N 43½11'52.91""E",,,71.03 km^2,,,,
Gare 2,"36½58'15.20""N 43½44'34.16""E",,,39.28 km^2,,,,
Dedawan,"35½57'55.72""N 44½16'43.83""E",,,180.9 km^2,,,,
Sulaymaniyah,,,,,,,,
Name,Coordinates,Land Discrption,Out of 10,Area,Out of 10,Distance from the Grid,Out of 10,Solar Heat Map
Sulaymaniyah Suburbs,"35½25'54.15""N 45½42'36.46""E",,,53.49 km^2,,,,
Darbandikhan,"35½05'17.75""N 45½32'00.97""E",,,96.14 km^2,,,,
Kalar,"34½50'56.39""N 45½38'31.50""E",,,60.12 km^2,,,,
Puka,"34½47'28.07""N 45½15'38.34""E",,,24.64 km^2,,,,
Kalar 2,"34½45'50.28""N 45½10'49.30""E ",,,36.56 km^2,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Duhok,,,,,,,,
Name,Coordinates,Land Discription,Out of 10,Area,Out of 10,Distance from the Grid,Out of 10,Solar Heat Map
Pesh Xabur,"37½05'20.29""N 42½32'06.50""E",,,11.21 km^2,,,,
