zone_id,governorate,suitability_class,class_label,score_100,area_km2,centroid_lat,centroid_lon,val_ghi,val_dni,val_gti,val_temperature,val_pvout,val_elevation,val_slope,val_landclass,val_soiltype,val_dustsoiling,val_gridaccess,min_ghi,min_dni,min_gti,min_temperature,min_pvout,min_elevation,min_slope,min_landclass,min_soiltype,min_dustsoiling,min_gridaccess,max_ghi,max_dni,max_gti,max_temperature,max_pvout,max_elevation,max_slope,max_landclass,max_soiltype,max_dustsoiling,max_gridaccess,pct_nodata,pct_trees,pct_cropland,pct_grassland,pct_forest,pct_shrubland,pct_bare,pct_wetlands,pct_water,landclass_summary
Z0001,Sulaimaniya+Halabja,5,Highly Suitable,95.1832,8.5211,35.492535,45.036071,1913.91,1977.829,2172.8721,20.0481,1690.92,703.8232,3.8039,0.44,9.5,1.0843,4110.5322,1912.81,1972.71,2172.14,19.62,1689.44,650.22,2.32,0.0,9.5,1.06,1993.9,1916.1,1984.04,2176.16,20.52,1698.63,772.84,5.49,1.0,9.5,1.1,6305.27,0.0,0.0,0.0,40.0,40.0,0.0,20.0,0.0,0.0,"Grassland 40.0%, Forest 40.0%, Bare 20.0%"
Z0002,Sulaimaniya+Halabja,5,Highly Suitable,94.8236,63.338,35.442879,45.120808,1910.623,1966.871,2169.585,20.6915,1683.9886,640.3895,3.0647,0.4332,9.5,1.0893,4229.7031,1802.87,1690.38,1985.13,16.13,1612.19,545.63,1.47,0.0,9.5,0.96,0.0,1931.81,2049.05,2199.54,21.36,1740.84,1212.99,30.76,1.0,9.5,1.12,7975.6,0.0,1.2,0.0,46.2,36.9,0.0,15.6,0.0,0.0,"Grassland 46.2%, Forest 36.9%, Bare 15.6%, Trees 1.2%"
Z0003,Sulaimaniya+Halabja,5,Highly Suitable,94.5387,4.8758,35.378988,45.11975,1915.736,1961.027,2176.1599,20.7894,1687.1162,630.6608,3.7522,0.3498,9.5,1.0553,996.9506,1913.18,1957.01,2172.51,20.48,1684.55,609.17,1.44,0.0,9.5,1.02,0.0,1917.56,1969.79,2179.45,20.94,1692.27,672.49,4.5,0.6,9.5,1.09,1993.9,0.0,0.0,0.0,58.3,41.7,0.0,0.0,0.0,0.0,"Grassland 58.3%, Forest 41.7%"
Z0004,Sulaimaniya+Halabja,5,Highly Suitable,94.0919,92.6983,35.329483,45.046658,1930.3459,1999.3781,2195.1521,20.2516,1707.399,729.4167,6.8714,0.4402,9.5,1.0631,7786.4331,1906.97,1893.09,2167.39,17.39,1678.98,456.37,1.71,0.0,9.5,0.96,0.0,1951.17,2066.58,2219.26,22.26,1749.89,1108.53,29.0,1.0,9.5,1.23,13375.5,0.0,0.0,0.0,60.7,31.7,0.0,7.6,0.0,0.0,"Grassland 60.7%, Forest 31.7%, Bare 7.6%"
Z0005,Erbil,5,Highly Suitable,92.3592,3.6241,36.116978,44.315833,1901.4919,1979.655,2161.1841,19.894,1686.5608,631.1318,8.6559,0.4668,9.5,1.0458,4458.4985,1898.94,1959.57,2157.9,19.79,1679.52,560.37,5.04,0.0,9.5,1.03,3152.63,1904.05,1984.77,2164.11,20.32,1688.66,651.08,11.17,0.6,9.5,1.05,5813.17,0.0,0.0,0.0,77.8,22.2,0.0,0.0,0.0,0.0,"Grassland 77.8%, Forest 22.2%"
Z0006,Sulaimaniya+Halabja,5,Highly Suitable,90.7242,17.0578,35.417885,45.233286,1907.3361,1945.322,2149.8621,18.6512,1682.2303,883.7645,12.8239,0.5484,9.5,0.9443,9869.3076,1817.85,1764.16,2039.19,14.88,1674.99,761.66,5.8,0.0,9.5,0.93,5639.6,1939.11,2081.56,2202.09,19.75,1747.12,1432.94,26.78,0.6,9.5,1.01,10597.73,0.0,2.9,0.0,91.4,5.7,0.0,0.0,0.0,0.0,"Grassland 91.4%, Forest 5.7%, Trees 2.9%"
Z0007,Sulaimaniya+Halabja,5,Highly Suitable,90.5813,14.6696,35.147965,45.555167,1907.3361,1926.329,2150.592,20.4031,1676.9232,673.8283,12.475,0.5228,9.5,1.1197,8221.0645,1686.36,1562.17,1817.12,14.8,1610.53,553.17,6.6,0.0,9.5,1.07,4984.75,1948.61,2047.23,2211.22,21.38,1736.66,1347.05,43.53,1.0,9.5,1.16,11011.68,0.0,8.3,0.0,77.8,8.3,0.0,5.6,0.0,0.0,"Grassland 77.8%, Trees 8.3%, Forest 8.3%, Bare 5.6%"
Z0008,Erbil,5,Highly Suitable,87.3311,7.2507,36.085809,44.3415,1898.5699,1959.932,2158.6279,20.5144,1677.6096,534.2585,11.0884,0.56,9.5,1.0451,4984.7529,1893.46,1918.66,2150.96,19.77,1675.56,513.89,3.26,0.0,9.5,1.04,2229.25,1901.49,1973.81,2160.82,20.56,1686.44,618.21,15.77,1.0,9.5,1.06,6687.75,0.0,0.0,0.0,85.0,10.0,0.0,5.0,0.0,0.0,"Grassland 85.0%, Forest 10.0%, Bare 5.0%"
Z0009,Sulaimaniya+Halabja,5,Highly Suitable,85.0141,3.6554,35.412908,45.280167,1917.197,1963.949,2168.854,19.36,1698.4686,807.8481,7.2371,0.3336,9.5,0.9469,10019.2295,1916.1,1963.95,2166.66,19.04,1692.14,807.85,5.68,0.0,9.5,0.94,8917.0,1927.79,2019.83,2188.94,19.44,1710.71,853.12,11.92,0.6,9.5,0.95,11011.68,0.0,0.0,0.0,55.6,44.4,0.0,0.0,0.0,0.0,"Grassland 55.6%, Forest 44.4%"
Z0010,Sulaimaniya+Halabja,5,Highly Suitable,84.6465,3.6638,35.225889,45.324167,1930.7111,2021.2939,2194.0569,18.401,1720.9999,943.7386,7.6899,0.3336,9.5,0.993,14719.7988,1927.42,2008.88,2187.12,17.24,1714.92,891.49,3.87,0.0,9.5,0.97,13375.5,1932.17,2028.96,2196.98,18.95,1730.46,1068.9,16.04,0.6,9.5,1.0,15951.21,0.0,0.0,0.0,55.6,44.4,0.0,0.0,0.0,0.0,"Grassland 55.6%, Forest 44.4%"
Z0011,Sulaimaniya+Halabja,5,Highly Suitable,84.6207,3.6665,35.167217,45.5075,1912.084,1948.609,2158.6279,19.5019,1677.4824,767.5818,7.4621,0.45,9.5,1.0741,11963.4072,1581.53,1427.4,1691.84,16.92,1517.19,694.62,7.46,0.0,9.5,1.03,10966.46,1914.28,1954.09,2164.84,20.09,1684.09,1271.84,30.69,0.6,9.5,1.08,13957.31,0.0,12.5,0.0,75.0,12.5,0.0,0.0,0.0,0.0,"Grassland 75.0%, Trees 12.5%, Forest 12.5%"
Z0012,Sulaimaniya+Halabja,5,Highly Suitable,83.916,4.8947,35.062706,45.2655,1929.25,1964.6801,2187.4819,21.6843,1695.5392,646.9344,8.4857,0.4328,9.5,1.0607,14515.8193,1925.6,1941.67,2183.46,21.42,1688.41,575.52,3.01,0.0,9.5,1.05,12331.6,1932.17,1976.73,2191.86,22.0,1701.64,668.68,11.79,1.0,9.5,1.07,15763.17,0.0,0.0,0.0,58.3,33.3,0.0,8.3,0.0,0.0,"Grassland 58.3%, Forest 33.3%, Bare 8.3%"
Z0013,Duhok,4,Suitable,81.9786,5.9838,36.872387,43.7695,1860.584,2000.474,2115.8931,18.0636,1667.5985,669.1578,10.9849,0.6,8.5,0.8817,16502.4688,1847.8,1930.35,2103.11,16.53,1662.37,613.93,6.31,0.6,8.5,0.85,14378.23,1868.62,2027.5,2128.31,18.42,1685.72,851.59,30.5,0.6,8.5,0.88,16918.81,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Grassland 100.0%
Z0014,Duhok,5,Highly Suitable,81.5042,15.5667,36.858001,43.749192,1850.722,1962.854,2101.283,18.796,1638.225,574.6285,6.9492,0.3798,8.5,0.8596,16592.5645,1840.13,1905.87,2066.58,17.7,1626.84,534.69,3.44,0.0,8.5,0.85,13559.99,1860.95,2000.47,2117.72,19.12,1670.76,715.08,24.54,0.6,8.5,0.9,16592.56,0.0,10.0,0.0,63.3,26.7,0.0,0.0,0.0,0.0,"Grassland 63.3%, Forest 26.7%, Trees 10.0%"
Z0015,Duhok,5,Highly Suitable,81.4746,3.5946,36.780711,43.732833,1868.254,1988.421,2130.1379,18.7802,1668.5507,580.4658,7.7259,0.4668,8.5,0.9436,12004.875,1866.43,1977.1,2127.58,18.35,1664.93,554.44,3.21,0.0,8.5,0.93,10597.73,1869.71,1996.09,2133.43,19.03,1673.4,644.24,12.91,0.6,8.5,0.96,13412.6,0.0,0.0,0.0,77.8,22.2,0.0,0.0,0.0,0.0,"Grassland 77.8%, Forest 22.2%"
Z0016,Erbil,5,Highly Suitable,81.4006,3.5914,36.828383,44.5725,1864.601,1980.386,2115.5281,18.3128,1658.8685,902.7939,12.1121,0.6,8.5,0.8748,15508.9111,1813.47,1807.62,2016.55,18.1,1629.6,854.27,11.61,0.6,8.5,0.84,14099.01,1867.89,1992.8,2121.74,18.67,1664.18,934.3,23.71,0.6,8.5,0.89,16918.81,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Grassland 100.0%
Z0017,Erbil,5,Highly Suitable,81.2812,16.7556,36.847242,44.5395,1854.009,1926.694,2095.439,18.7368,1649.2729,821.53,11.7212,0.5502,8.5,0.891,14169.3301,1835.38,1870.44,2048.32,17.93,1630.22,791.64,5.15,0.0,8.5,0.82,11366.99,1864.97,1986.96,2115.89,19.04,1660.14,907.52,25.68,0.6,8.5,0.91,18382.86,0.0,0.0,0.0,91.7,8.3,0.0,0.0,0.0,0.0,"Grassland 91.7%, Forest 8.3%"
Z0018,Duhok,4,Suitable,78.6742,9.583,36.802255,43.71725,1862.775,1949.339,2122.1021,17.8221,1678.397,749.8273,16.3128,0.54,8.5,0.9436,14169.3301,1845.24,1901.49,2085.94,15.49,1648.63,574.92,7.73,0.0,8.5,0.9,12004.88,1874.46,2014.35,2138.54,18.86,1682.58,984.13,20.96,0.6,8.5,0.98,16948.16,0.0,5.0,0.0,90.0,5.0,0.0,0.0,0.0,0.0,"Grassland 90.0%, Trees 5.0%, Forest 5.0%"
Z0019,Erbil,4,Suitable,77.646,5.9858,36.826183,44.5571,1861.679,1966.871,2108.5879,18.7017,1647.017,854.6672,18.2246,0.5502,8.5,0.8668,14099.0107,1813.47,1807.62,2016.55,18.12,1625.31,804.6,11.61,0.0,8.5,0.85,12689.11,1864.97,1980.39,2115.89,18.81,1660.14,907.52,23.71,0.6,8.5,0.9,16229.18,0.0,0.0,0.0,91.7,8.3,0.0,0.0,0.0,0.0,"Grassland 91.7%, Forest 8.3%"
